feature,coefficient,odds_ratio
InternetService_No,-1.150366808297862,0.31652064568350635
tenure,-1.1502269424193114,0.31656491921780044
Contract_Two_year,-0.8946844850288354,0.4087365407960718
InternetService_Fiber_optic,0.7715266207511354,2.163065915790949
Contract_Month_to_month,0.5377419903421096,1.7121364734490774
TotalCharges,0.48250643237350327,1.6201300638902194
PhoneService,-0.3932617141056504,0.6748521061569555
OnlineSecurity,-0.38851455520730555,0.6780633524553963
PaperlessBilling,0.33562015023691566,1.3988075871535053
TechSupport,-0.32193915345596624,0.7247422870518049
StreamingMovies,0.30991314385270274,1.36330669742232
StreamingTV,0.2843020356312311,1.3288342254311778
MultipleLines,0.2693697377460952,1.309139089710264
PaymentMethod_Credit_card_automatic,-0.25087499078672404,0.7781196376029862
PaymentMethod_Bank_transfer_automatic,-0.2505892359704221,0.7783420208091132
Dependents,-0.22894414567809182,0.7953729572816456
MonthlyCharges,-0.2051873762923665,0.8144946851178686
PaymentMethod_Mailed_check,-0.2006022052276901,0.8182378575654305
Contract_One_year,-0.19302489417350033,0.8244614495972679
InternetService_DSL,-0.17112720131435646,0.8427143722779172
PaymentMethod_Electronic_check,0.15209904312411865,1.1642755442090302
SeniorCitizen,0.1513224929876158,1.1633717768320044
OnlineBackup,-0.127941627347689,0.87990474001905
gender,0.02997775569025328,1.030431612458621
Partner,0.01712048759768047,1.0172678831049984
DeviceProtection,-0.014106866500805304,0.9859921690994916
